rev,n,total,mean,sd
f9ad99e57,2445,3376,1.38,1.02
8b89d6635,2430,3349,1.38,1.03
7bb42ba57,2435,3358,1.38,1.03
8deee738c,2431,3354,1.38,1.03
e4abc8538,2424,3352,1.38,1.02
f29328e6a,2424,3352,1.38,1.02
270d4f6e8,2439,3372,1.38,1.02
371a0f724,2445,3374,1.38,1.02
77fa3702d,2445,3374,1.38,1.02
f65c7e413,2446,3374,1.38,1.02
36d315343,2447,3375,1.38,1.02
230b82d3b,2621,3760,1.43,1.04
f19a1926b,2606,3707,1.42,1.03
8b24995d5,2608,3492,1.34,1.02
3164cd4ae,2614,3492,1.34,1.02
9dfa596e3,2647,3527,1.33,1.02
e5e0fa97e,2650,3531,1.33,1.02
2e0c9c706,2670,3564,1.33,1.02
a8975f541,2667,3564,1.34,1.02
200ce6932,2667,3564,1.34,1.02
4faad6497,2667,3564,1.34,1.02
22b064470,2667,3564,1.34,1.02
24607873c,2712,3540,1.31,1.03
e5eb121ab,2718,3546,1.3,1.03
13a765e50,2718,3546,1.3,1.03
a0f1ceba1,2146,2219,1.03,0.86
0a7f65cd9,2176,2282,1.05,0.87
95e037c66,2184,2286,1.05,0.87
f9359aaa7,2185,2287,1.05,0.87
41b0589ab,2187,2291,1.05,0.87
12466fb06,2222,2283,1.03,0.86
271f31730,2295,2449,1.07,0.89
512628e8a,2312,2460,1.06,0.89
0990549e7,2313,2462,1.06,0.89
d2b4760e3,2315,2455,1.06,0.89
296a36795,2318,2458,1.06,0.89
7ba1557d1,2324,2466,1.06,0.89
477e10238,2200,2373,1.08,0.9
5b50a469b,2200,2373,1.08,0.9
71574488c,2207,2377,1.08,0.9
0a6dde4fc,2229,2415,1.08,0.9
a3d969680,2229,2415,1.08,0.9
aa2db562b,2257,2448,1.08,0.89
d85e0b51e,2257,2441,1.08,0.89
86c379817,2256,2441,1.08,0.89
92a919069,2266,2448,1.08,0.89
fc062878e,2266,2448,1.08,0.89
8402dfa3a,2266,2448,1.08,0.89
d6d2aae67,2266,2448,1.08,0.89
cb30e5f1e,2267,2449,1.08,0.89
28c793c3f,2268,2451,1.08,0.89
aaf630ed1,2268,2451,1.08,0.89
0fc79f93d,2274,2460,1.08,0.89
